1,上海博物馆,上海市黄浦区武胜路188号,31.23023386,121.4709587,0,全年开放（9:00-17:00）16:00后停止入场,96968686,http://www.shanghaimuseum.net,门票：现在免费
2,上海市历史博物馆（上海城市历史发展陈列馆）,上海浦东世纪大道1号东方明珠零米大厅,31.24143537,121.4955505,35,8:00-21:30,021-58791888,http://www.historymuseum.sh.cn/,门票：35元
3,上海科技馆,上海浦东新区世纪大道2000号,31.21956869,121.536896,60,9:00至17:15 周二至周日（周一休馆黄金周假日除外）,021-68542000,http://www.sstm.cn,门票：普通票：60元，学生票：45元，儿童票：20元
4,上海自然博物馆,上海延安东路260号,31.23321722,121.4828509,5,9:00--15:30（周二---周日）,021-63213548,,门票：5元
5,上海美术馆,上海南京西路325号,31.23260668,121.4665552,20,9:00-17:00,021-63272829,http://www.cnarts.net/shanghaiart,票价：20元。学生票5元，学生年卡48元
6,上海市城市规划展示馆,上海黄浦区人民大道100号,31.23325268,121.4707402,0,9:00－17:00（周一?周四）9:00－18:00（周五?周日），闭馆前一小时停止入馆。,021-63184477,http://www.supec.org/,票价：30元，学生15元，成人可免费带一位未成年人入场。
7,上海公安博物馆,上海瑞金南路518号,31.20010939,121.4637106,20,9:30-16:30（16,021-64720256,http://www.policemuseum.com.cn,票价：20元，凭学生证5元
8,上海铁路博物馆,上海天目东路200号,31.2516048,121.4716523,10,每周二、三、四、五、六9:00-16:00 (国定假另行通知)。,021-51221987,,票价：10元
9,上海汽车博物馆,上海安亭博园路7565号,31.28044502,121.1656536,60,周二——周日9:30——16:00（15:30停止售票）,021-69550055,http://www.shautomuseum.gov.cn,票价：普通票：60元 学生票：40元
10,上海儿童博物馆,上海长宁区宋园路61号,31.19569698,121.4086002,20,每天8:30--17:00（15:45起停止入馆），逢周一闭馆（国定假除外）。,021-62783130,http://www.shetbwg.com/,票价：20元/人
11,中国烟草博物馆（上海）,上海长阳路728号,31.26381245,121.5138537,10,周二、周四接待散客；周一、周三、周五接待团队9,021-65359966,,票价：10元
12,上海昆虫博物馆,上海徐汇区枫林路300号,31.1948526,121.4518296,15,09:00--16:30,021-54924191,http://www.shem.com.cn/,票价：成人15元/人、学生（凭学生证）和小孩均10元/人。
13,江南造船博物馆,上海卢湾区鲁班路600号江南造船大厦二层和三层,31.19971365,121.4718664,0,0,021-63151818*2439,http://www.jnmuseum.cn/,开放时间：见票价
14,中国人民解放军海军上海博物馆,上海宝山区塘后路68号,31.39062348,121.5019484,35,8:30-17:00,021-56163295,,票价：35元(一位成人可带一儿童)
